feature_name,Location,Filters,Selectable,Logical Group,Suggestive Enums,Variant,dtype
Colour,"CLP, PDP",Y,Y,Group 1,Y,Y,Alpha
Size,"CLP, PDP",Y,Y,Group 1,Y,Y,AlphaNumeric
Qty,PDP,,Y,,N,,Numeric
Brand Name,"CLP, PDP",Y,Y,Group 1,N,,AlphaNumeric
MRP,"CLP, PDP",,N,Group 1,N,,Numeric
Selling Price,"CLP, PDP",Y,Y,Group 1,N,,Numeric
Short Product Description,"CLP, PDP",,N,Group 1,N,,AlphaNumeric
SKU Code,PDP,,N,Group 5,N,,AlphaNumeric
Pack Qty,PDP,,N,Group 5,N,,Numeric
Pack Qty Unit of Measurement,PDP,,N,Group 5,N,,Alpha
Material / Content,CLP,Y,Y,,Y,,Alpha
Manufacturer Name & Address,PDP,,N,Group 6,N,,AlphaNumeric
Country of Origin,PDP,,N,Group 6,N,,AlphaNumeric
Customer Care Contact,PDP,,N,Group 6,N,,AlphaNumeric
Care Instructions,PDP,,N,Group 5,N,,AlphaNumeric
Time to Ship,PDP,,N,Group 5,N,,AlphaNumeric
Cancellable (Y/N),PDP,,N,Group 3,Y,,Alpha
Returnable (Y/N),PDP,,N,Group 3,Y,,Alpha
Replaceable (Y/N),PDP,,N,Group 3,Y,,Alpha
COD Available (Y/N),PDP,,N,Group 3,Y,,Alpha
Image 1,"CLP, PDP",,N,Group 1,N,,URL
Image 2,"CLP, PDP",,N,Group 1,N,,URL
Image 3,"CLP, PDP",,N,Group 1,N,,URL
Image 4 / Video 1,"CLP, PDP",,N,Group 1,N,,URL
Image 5 / Video 2,"CLP, PDP",,N,Group 1,N,,URL
Gross Weight,PDP,,N,Group 3,N,,Numeric
Gross Weight Unit of Measurement,PDP,,N,Group 3,N,,Alpha
Length x Breadth x Height (Cubic Cm.),PDP,,N,Group 3,N,,AlphaNumeric
Fragile (Y/N),PDP,,N,Group 3,Y,,Alpha
Liquid (Y/N),PDP,,N,Group 3,Y,,Alpha
Hazardous (Y/N),PDP,,N,Group 3,Y,,Alpha
Size Chart,PDP,,N,Group 1,N,,URL
GTIN / HSN / EAN,PDP,,N,Group 5,N,,AlphaNumeric
Season,CLP,Y,Y,Group 5,Y,,Alpha
Occasion,CLP,Y,Y,Group 5,Y,,Alpha
Design / Style Type,CLP,Y,Y,Group 5,Y,,Alpha
Trend,CLP,Y,Y,Group 5,Y,,Alpha
Pattern,CLP,Y,Y,Group 5,Y,,Alpha
Features,CLP,Y,Y,Group 5,Y,,Alpha
Fabric,CLP,Y,Y,Group 5,Y,,Alpha
Fabric Finish,CLP,Y,Y,Group 5,Y,,Alpha
Material Finish,CLP,Y,Y,Group 5,Y,,Alpha
Max Sale Quantity,PDP,,Y,Group 1,N,,Numeric
Bundles / Multipack Sets,"CLP, PDP",,Y,Group 1,Y,,AlphaNumeric
Fit,CLP,Y,Y,Group 5,Y,,AlphaNumeric
Collar,CLP,Y,Y,Group 5,Y,,Alpha
Neck,CLP,Y,Y,Group 5,Y,,Alpha
Sleeve Length,CLP,Y,Y,Group 5,Y,,AlphaNumeric
Sports Type,CLP,Y,Y,Group 5,Y,,Alpha
Pockets,CLP,Y,Y,Group 5,N,,Numeric
Reversible,CLP,Y,Y,Group 5,Y,,Alpha
Lining,CLP,Y,Y,Group 5,Y,,Alpha
Waist Rise,CLP,Y,Y,Group 5,Y,,Alpha
Length,CLP,Y,Y,Group 5,Y,,Alpha
